3,0,1
3,1,1-0
3,2,1-1-1
3,3,1-2-2-2
4,0,1
4,1,1-0
4,2,2
4,3,1-1
4,4,1-2
4,5,3
4,6,1-1-1
4,7,3-3-3
4,8,3-3-3-3-3-3-3
5,0,1
5,1,1-0
5,2,1-2
5,3,1-1-3
5,4,1-4-4
5,5,1-4-4-4
6,0,1
6,1,1-0
6,2,1-1-2
6,3,1-3-3-5
7,0,1
7,1,1-0
7,2,2-3-6
7,3,1-4-6-6-6
8,0,1
8,1,1-0
8,2,2-2
8,3,3-3
8,4,1-1-5
8,5,4-5-6
9,0,1
9,1,1-0
9,2,3
9,3,1-1-1
9,4,1-1-5-8
10,0,1
10,1,1-0
10,2,1-3
10,3,2-3
10,4,1-9
10,5,7
10,6,3-5-6
10,7,7-8-9-9-9
11,0,1
11,1,1-0
11,2,1-1-3
11,3,5-7-9
12,0,1
12,1,1-0
12,2,2-2-2
12,3,6-6-11-11
13,0,1
13,1,1-0
13,2,2-3
13,3,2-5
13,4,1-2-8
13,5,1-9-11
13,6,3-12-12
13,7,1-11-11-12-12-12
14,0,1
14,1,1-0
14,2,1-2-3
14,3,3-7-13
14,4,11-11-12-12-13
15,0,1
15,1,1-0
15,2,9-12
15,3,1-5-11
15,4,1-9-12-13
16,0,1
16,1,1-0
16,2,4
16,3,2
16,4,1-1
16,5,1-4
16,6,1-8
16,7,6
16,8,1-11
16,9,6-9
16,10,9-14
16,11,8-13
16,12,1-13-14
16,13,13-14-15
17,0,1
17,1,1-0
17,2,1-4
17,3,1-2-4
17,4,5-9-15
18,0,1
18,1,1-0
18,2,3-3
18,3,11-15
18,4,5-16
18,5,2-17
18,6,2-7
18,7,4-14
18,8,16
18,9,4
18,10,2
18,11,6
18,12,6-17
18,13,2-11
18,14,10
18,15,1-3
18,16,5
18,17,1-2
18,18,1-6
18,19,2-6
18,20,8
18,21,9
18,22,3
18,23,4-4
18,24,8-13
18,25,2-15
18,26,4-16
18,27,6-16
18,28,1-2-17
18,29,11-16
18,30,1-3-17
18,31,1-13-15
18,32,11-14-16
19,0,1
19,1,1-0
19,2,1-3-3
19,3,13-18
19,4,3-16
19,5,3-8
19,6,1-8
19,7,3-12
19,8,1-12
19,9,2-15
19,10,2-7
19,11,3-6
19,12,17
19,13,1-4
19,14,1-18
19,15,1-6
19,16,5
19,17,1-2
19,18,1-10
19,19,15
19,20,1-14
19,21,2-9
19,22,11
19,23,1-1-3
19,24,3-11-17
20,0,1
20,1,1-0
20,2,2-4
20,3,16
20,4,4
20,5,2
20,6,1-1
20,7,1-11
20,8,5-14
20,9,9-15
20,10,1-5-13
20,11,1-16-16
20,12,1-1-7-18-19
21,0,1
21,1,1-0
21,2,1-2-4
21,3,1-1-14-17
22,0,1
22,1,1-0
22,2,2-3-3
22,3,14-20-21
23,0,1
23,1,1-0
23,2,3-6-22
24,0,1
24,1,1-0
24,2,2-2-4
24,3,1-18-21-22
25,0,1
25,1,1-0
25,2,5
25,3,1-2
25,4,5-6
25,5,9-24
25,6,1-8-20
25,7,19-22
25,8,13-20
25,9,1-16-16
25,10,14-19-22
26,0,1
26,1,1-0
26,2,1-5
26,3,3-25
26,4,13-22
26,5,3-24
26,6,3-18
26,7,19-24
26,8,1-21-21
26,9,19-21-21
27,0,1
27,1,1-0
27,2,1-1-5
27,3,17-24
27,4,2-23
27,5,5-24
27,6,13-22
27,7,7-18
27,8,3-22
27,9,12-15
27,10,1-4-20
27,11,2-18-23
27,12,13-24-26-26
28,0,1
28,1,1-0
28,2,8-12-24
29,0,1
29,1,1-0
29,2,2-5
29,3,2-25
29,4,13
29,5,19
29,6,1-18
29,7,2-21
29,8,1-16
29,9,9
29,10,3
29,11,21
29,12,10-19
29,13,5-28
29,14,23
29,15,1-2-18
29,16,4-15-26
30,0,1
30,1,1-0
30,2,18-24
30,3,3-27
30,4,6-9
30,5,10-16
30,6,7-21
30,7,14-21
30,8,21
30,9,1-2-4
30,10,12-29
30,11,10-17
30,12,6-22
30,13,5-23
30,14,2-13
30,15,1-22
30,16,4-6
30,17,3-14
30,18,2-10
30,19,2-9
30,20,4-16
30,21,22
30,22,1-23
30,23,2-7
30,24,3-24
30,25,2-18
30,26,1-21
30,27,17
30,28,9
30,29,3
30,30,3-9
30,31,16-24
30,32,8-21
30,33,4-27
30,34,2-27
30,35,14
30,36,16
30,37,4
30,38,2
30,39,1-1
30,40,20
30,41,2-4
30,42,8
30,43,2-2
30,44,1-10
30,45,2-6
30,46,1-15
30,47,3-6
30,48,10-27
30,49,6-28
30,50,5-19
30,51,13
30,52,2-3
30,53,2-20
30,54,4-8
30,55,8-8
30,56,3-19
30,57,2-24
30,58,10
30,59,1-3
30,60,5-22
30,61,2-6-25
30,62,2-22-26-29
31,0,1
31,1,1-0
31,2,5-6-30
32,0,1
32,1,1-0
32,2,4-4
32,3,2-8-8
32,4,12-22-28-30
33,0,1
33,1,1-0
33,2,1-4-4
33,3,19-32
33,4,1-12-24
33,5,1-22-32
33,6,1-21-26-27
34,0,1
34,1,1-0
34,2,3-5
34,3,2-13
34,4,9
34,5,3
34,6,4-32
34,7,22-22
34,8,1-12-25
34,9,4-22-33
35,0,1
35,1,1-0
35,2,21-28
35,3,27-34
35,4,16-31
35,5,2-16-29
35,6,9-29-31-34
36,0,1
36,1,1-0
36,2,6
36,3,1-1-2
36,4,12-35
36,5,1-5-21
36,6,1-30-34
36,7,10-35-35
37,0,1
37,1,1-0
37,2,1-6
37,3,1-9-35
37,4,21-36
37,5,1-14-34
37,6,25-36
37,7,31
37,8,3-7-33
38,0,1
38,1,1-0
38,2,1-1-6
38,3,4-19-36
39,0,1
39,1,1-0
39,2,15-36
39,3,1-7-37
39,4,1-5-19-38
40,0,1
40,1,1-0
40,2,2-6
40,3,11-11
40,4,21-39
40,5,29-30
40,6,2-35
40,7,21-31
40,8,6-35
40,9,1-6-37
40,10,2-28-33
40,11,13-36-38-38
41,0,1
